11-Oct-2022,95.17,INCREASE
12-Oct-2022,93.44,INCREASE
13-Oct-2022,95.16,DECREASE
14-Oct-2022,92.22,DECREASE
17-Oct-2022,91.04,DECREASE
18-Oct-2022,89.46,INCREASE
19-Oct-2022,91.34,INCREASE
20-Oct-2022,91.52,INCREASE
21-Oct-2022,91.82,DECREASE
24-Oct-2022,91.57,INCREASE
25-Oct-2022,91.76,INCREASE
26-Oct-2022,92.93,INCREASE
27-Oct-2022,94.17,INCREASE
28-Oct-2022,94.64,DECREASE
31-Oct-2022,93.3,INCREASE
1-Nov-2022,95.12,INCREASE
2-Nov-2022,96.07,DECREASE
3-Nov-2022,95.29,INCREASE
4-Nov-2022,99.53,INCREASE
7-Nov-2022,99.87,DECREASE
8-Nov-2022,96.85,DECREASE
9-Nov-2022,93.05,INCREASE
10-Nov-2022,94.25,INCREASE
11-Nov-2022,96.37,DECREASE
